Genreid,Day
360,night,332
4356,day,333
5955,day,334
650,night,335
14661,day,336
15046,night,337
523,night,338
5719,day,339
13625,night,340
4262,night,341
7144,day,342
1095,day,343
8489,day,344
1211,day,345
232,day,346
4152,night,347
150,night,348
12301,night,349
13203,night,350
3155,night,351
11027,day,352
2016,night,353
1752,night,354
7107,day,355
16683,night,356
9207,night,357
15589,day,358
5309,night,359
2169,night,360
13189,night,361
10791,night,362
11421,day,363
2550,day,364
15135,night,365
9269,night,366
1319,day,367
16618,night,368
813,night,369
2491,night,370
12943,night,371
7263,night,372
6921,day,373
2773,night,374
629,night,375
2640,night,376
520,night,377
6728,day,378
10012,day,379
104,day,380
6532,day,381
9619,night,382
10718,night,383
15370,day,384
7155,day,385
6809,night,386
7340,day,387
11217,day,388
10947,day,389
2198,day,390
12971,day,391
6258,day,392
3106,day,393
1558,night,394
1624,day,395
1334,night,396
11972,night,397
15482,day,398
15403,day,399
15333,night,400
4749,day,401
157,day,402
14902,day,403
2947,night,404
878,night,405
11867,day,406
6898,night,407
15680,day,408
15242,day,409
4431,night,410
9202,night,411
1221,night,412
9364,night,413
4060,day,414
1587,night,415
15145,day,416
14357,night,417
12002,day,418
760,night,419
14061,night,420
7456,day,421
13592,day,422
9683,day,423
16398,day,424
10273,day,425
6926,day,426
9661,day,427
1897,night,428
12018,day,429
177,night,430
6354,day,431
275,night,432
4970,night,433
3737,day,434
4559,night,435
10815,day,436
7087,night,437
200,night,438
1226,night,439
8927,night,440
3753,day,441
12449,night,442
10879,day,443
1979,day,444
5324,night,445
12629,night,446
14372,night,447
4626,day,448
11935,day,449
658,night,450
10101,day,451
4597,night,452
1201,night,453
12520,day,454
10369,day,455
4213,night,456
5404,night,457
4474,day,458
653,night,459
15593,night,460
15597,day,461
7769,night,462
11063,night,463
16397,night,464
9406,night,465
312,day,466
10973,night,467
7742,day,468
15917,day,469
4303,night,470
16066,night,471
4698,day,472
7430,night,473
16156,day,474
7462,day,475
1128,day,476
6512,night,477
6606,night,478
12125,day,479
10287,day,480
1470,day,481
10590,day,482
9616,day,483
2810,day,484
2329,day,485
11651,night,486
14376,day,487
8149,night,488
1195,day,489
7846,night,490
16467,night,491
4241,day,492
9096,night,493
14162,night,494
6815,night,495
13606,night,496
7088,day,497
4478,day,498
14110,day,499
12810,day,500
14002,day,501
1486,night,502
6669,day,503
7279,night,504
14617,day,505
13586,day,506
15251,day,507
9106,night,508
6191,day,509
12121,day,510
8390,night,511
1405,day,512
10189,day,513
9790,night,514
15722,day,515
15261,day,516
6097,night,517
6781,day,518
10732,day,519
13540,day,520
10448,day,521
4338,day,522
3999,night,523
15291,night,524
5874,day,525
4465,day,526
2238,day,527
9418,day,528
6712,day,529
13086,day,530
2651,night,531
8178,day,532
15846,night,533
742,day,534
16251,day,535
12888,night,536
2464,day,537
9454,day,538
13757,day,539
317,night,540
9856,night,541
5371,night,542
4675,night,543
12321,night,544
6929,day,545
8068,day,546
413,night,547
4321,day,548
4078,day,549
13148,day,550
11507,night,551
15957,day,552
14798,night,553
12318,night,554
1223,night,555
2530,night,556
4332,day,557
12506,night,558
1661,night,559
10848,night,560
11298,day,561
14044,day,562
15948,night,563
11836,day,564
303,day,565
11823,day,566
8021,night,567
4698,day,568
5876,day,569
10035,day,570
310,night,571
14185,day,572
14198,day,573
9082,night,574
10229,night,575
6659,day,576
8599,day,577
14678,night,578
8332,night,579
10821,night,580
560,night,581
10653,night,582
1383,day,583
13821,day,584
93,night,585
7807,night,586
13340,night,587
2779,day,588
4605,night,589
11987,night,590
5437,night,591
8241,day,592
8992,night,593
8831,night,594
279,night,595
16589,night,596
13689,day,597
11717,day,598
9389,day,599
6682,day,600
5307,day,601
3887,day,602
5883,night,603
6067,day,604
16582,day,605
4898,day,606
4667,day,607
15163,night,608
11428,day,609
15193,day,610
9912,day,611
13149,night,612
8497,night,613
7543,night,614
4098,night,615
14942,day,616
3444,day,617
6345,night,618
4068,night,619
15508,day,620
5662,day,621
7313,day,622
11277,day,623
15762,night,624
12856,night,625
4851,day,626
1635,night,627
10883,night,628
607,night,629
8384,day,630
2314,night,631
7742,day,632
4580,night,633
7394,day,634
12600,day,635
9833,night,636
7299,day,637
16196,day,638
13292,day,639
1681,day,640
6029,night,641
14404,day,642
4931,day,643
3769,day,644
122,day,645
7784,night,646
1687,night,647
14601,day,648
8578,day,649
15064,day,650
321,day,651
13233,day,652
6483,day,653
3721,day,654
5413,night,655
14504,day,656
318,day,657
5496,night,658
13437,day,659
10451,day,660
8707,day,661
5974,day,662
11201,night,663
13567,night,664
12747,day,665
9891,day,666
12947,day,667
5737,day,668
6183,day,669
6145,night,670
16176,night,671
7920,day,672
13571,night,673
546,day,674
4800,night,675
16034,night,676
5235,night,677
14370,day,678
10806,night,679
1524,day,680
7846,day,681
8106,night,682
10036,night,683
9187,night,684
9692,night,685
5001,night,686
14142,day,687
522,day,688
4527,night,689
2748,night,690
6478,day,691
7629,day,692
694,day,693
10613,day,694
1605,day,695
14680,day,696
13115,night,697
8108,day,698
16173,night,699
13145,day,700
11957,night,701
2193,night,702
8626,night,703
10806,day,704
7974,day,705
4029,day,706
6031,day,707
7263,day,708
11455,night,709
6927,night,710
3880,night,711
4846,day,712
16736,day,713
15578,night,714
9412,night,715
15542,day,716
16227,day,717
15441,day,718
12930,night,719
6560,night,720
14556,night,721
4039,day,722
66,day,723
6762,day,724
15662,day,725
16396,day,726
2303,day,727
9314,night,728
12023,night,729
112,day,730
7973,day,731
9860,night,732
393,day,733
9547,day,734
12611,day,735
44,night,736
4479,day,737
5151,night,738
5886,night,739
15687,day,740
2380,day,741
7227,day,742
5770,day,743
9975,day,744
16086,day,745
10242,day,746
2337,day,747
5184,day,748
1279,day,749
9641,night,750
3667,night,751
12564,night,752
1874,day,753
15131,day,754
268,day,755
12422,night,756
13653,night,757
16512,night,758
15069,day,759
15393,day,760
11365,day,761
11437,night,762
10799,day,763
4854,night,764
14656,day,765
7058,night,766
13514,day,767
8030,day,768
8301,day,769
7856,night,770
2313,day,771
14597,night,772
15376,night,773
2451,night,774
8234,day,775
15265,day,776
5155,night,777
2015,day,778
16608,night,779
14106,day,780
14085,night,781
7112,night,782
3776,night,783
730,day,784
10520,night,785
15817,night,786
12482,day,787
8074,day,788
14807,night,789
12276,night,790
6620,day,791
5929,night,792
490,night,793
2432,day,794
14513,night,795
7219,day,796
83,night,797
9190,day,798
14337,night,799
4937,day,800
1356,night,801
890,day,802
4421,day,803
12964,day,804
16095,day,805
2402,day,806
2275,day,807
12856,night,808
6927,night,809
15150,day,810
2579,day,811
9694,day,812
15473,night,813
13709,night,814
4693,day,815
14869,day,816
14897,day,817
15090,day,818
13256,night,819
14952,night,820
10873,night,821
11826,night,822
14973,night,823
4086,day,824
7920,day,825
14702,night,826
4359,day,827
1002,night,828
13444,day,829
10367,night,830
15525,day,831
13677,night,832
5129,day,833
6300,night,834
1779,day,835
8666,night,836
8735,night,837
14681,day,838
11580,day,839
10115,day,840
11450,night,841
14987,day,842
3196,night,843
10557,night,844
15288,day,845
9805,night,846
4328,night,847
8858,night,848
12661,night,849
8506,day,850
3053,day,851
4531,day,852
13055,day,853
4586,day,854
5139,day,855
2427,day,856
16161,day,857
3352,night,858
13794,day,859
15143,day,860
5912,night,861
13011,day,862
896,day,863
15248,day,864
136,day,865
14074,day,866
15608,day,867
5213,day,868
7438,day,869
11269,day,870
11127,day,871
7295,night,872
10428,night,873
6153,night,874
3689,day,875
7818,day,876
15453,day,877
12859,night,878
2124,night,879
4026,night,880
15814,night,881
7823,night,882
1518,night,883
9809,day,884
6107,day,885
8928,day,886
6095,night,887
15324,day,888
11581,day,889
13015,night,890
8382,day,891
3852,night,892
3034,day,893
9449,day,894
15654,day,895
15394,night,896
1230,night,897
13668,day,898
9740,day,899
3633,night,900
6390,day,901
4153,day,902
1019,night,903
16524,night,904
13595,day,905
2086,night,906
2076,night,907
4350,day,908
773,day,909
606,day,910
7389,day,911
16233,day,912
3099,night,913
11638,night,914
8124,night,915
14710,day,916
4025,night,917
15430,day,918
10291,day,919
5828,day,920
10917,day,921
6890,day,922
12169,night,923
1797,night,924
4886,day,925
13307,night,926
13476,night,927
13766,night,928
16028,day,929
1339,night,930
1364,night,931
11659,day,932
4255,day,933
9961,night,934
12198,day,935
6368,night,936
16678,day,937
10039,day,938
12555,day,939
2461,night,940
9209,day,941
2366,day,942
8701,day,943
15393,day,944
13512,day,945
10042,day,946
14224,day,947
8224,day,948
13222,day,949
14617,day,950
7561,day,951
223,night,952
1580,night,953
14484,night,954
11801,night,955
8283,night,956
2610,day,957
8136,day,958
13581,day,959
5222,night,960
5013,day,961
13960,night,962
5290,day,963
10419,day,964
5421,day,965
7019,night,966
15320,night,967
7314,day,968
11166,day,969
4447,night,970
11998,day,971
14269,night,972
8714,night,973
15992,day,974
9569,day,975
12797,night,976
11027,day,977
16224,day,978
11865,day,979
1763,day,980
3910,night,981
15853,day,982
2183,night,983
16329,night,984
277,day,985
6880,night,986
14900,day,987
6559,night,988
4278,day,989
10412,night,990
10817,day,991
2954,day,992
14345,day,993
5958,night,994
2890,day,995
15362,night,996
16248,night,997
12163,night,998
3413,day,999
7740,day,1000
15359,night,1001
303,night,1002
3338,night,1003
16739,night,1004
303,day,1005
3351,night,1006
6817,night,1007
8190,day,1008
2767,day,1009
15722,day,1010
2014,day,1011
8841,day,1012
93,night,1013
4519,day,1014
9652,night,1015
3758,day,1016
6952,day,1017
12146,day,1018
9170,night,1019
6164,day,1020
267,day,1021
5981,night,1022
3741,day,1023
13046,night,1024
10473,day,1025
3802,day,1026
3430,night,1027
15081,night,1028
7846,day,1029
4314,night,1030
15800,night,1031
8820,night,1032
11587,day,1033
3641,day,1034
11815,night,1035
4934,night,1036
13335,day,1037
9145,night,1038
6732,day,1039
2394,night,1040
4681,day,1041
8468,day,1042
11547,night,1043
9598,day,1044
13203,night,1045
15918,day,1046
4910,day,1047
650,night,1048
16471,night,1049
12740,night,1050
967,night,1051
9957,day,1052
12963,day,1053
5156,day,1054
2412,night,1055
10965,day,1056
5573,day,1057
15001,day,1058
3832,day,1059
15965,night,1060
4758,day,1061
2059,day,1062
4277,day,1063
6457,night,1064
1947,day,1065
5182,day,1066
12027,night,1067
5249,day,1068
15619,day,1069
8184,day,1070
12054,night,1071
11774,day,1072
10824,day,1073
1137,night,1074
12175,day,1075
7727,day,1076
2566,day,1077
8300,night,1078
12532,night,1079
4198,day,1080
11319,day,1081
8050,night,1082
6278,day,1083
12260,day,1084
15552,night,1085
12578,day,1086
1470,night,1087
13382,day,1088
4234,day,1089
4499,night,1090
13916,night,1091
13500,day,1092
9351,night,1093
12933,day,1094
1320,night,1095
2499,day,1096
15761,night,1097
8790,night,1098
10348,day,1099
14190,day,1100
5636,day,1101
13534,day,1102
23,day,1103
1836,day,1104
11213,day,1105
15367,day,1106
2403,night,1107
9736,night,1108
52,day,1109
9296,day,1110
14447,night,1111
2078,day,1112
7866,day,1113
11869,day,1114
15158,day,1115
8096,night,1116
11731,day,1117
12206,day,1118
13478,night,1119
6115,night,1120
3488,day,1121
8801,night,1122
4740,night,1123
802,night,1124
8024,day,1125
796,day,1126
15544,night,1127
1598,night,1128
429,night,1129
14096,night,1130
5333,night,1131
260,day,1132
3683,day,1133
10307,day,1134
15963,night,1135
550,day,1136
3072,day,1137
14933,night,1138
2340,day,1139
115,day,1140
1257,day,1141
8025,night,1142
3829,night,1143
10178,day,1144
9687,night,1145
6819,day,1146
5312,day,1147
1098,day,1148
16085,day,1149
16099,day,1150
2772,day,1151
10831,day,1152
16430,night,1153
16468,day,1154
13785,night,1155
14860,night,1156
11552,night,1157
69,night,1158
2684,day,1159
3832,night,1160
4994,night,1161
14775,night,1162
11556,day,1163
11779,night,1164
12202,day,1165
12273,day,1166
12654,night,1167
6212,day,1168
3627,night,1169
14341,night,1170
12049,day,1171
6032,night,1172
9494,night,1173
10729,day,1174
8213,day,1175
12250,day,1176
967,day,1177
4642,day,1178
10326,night,1179
12541,day,1180
370,night,1181
13779,night,1182
12876,day,1183
9795,day,1184
6283,day,1185
4225,night,1186
9040,night,1187
6834,day,1188
2101,day,1189
7929,day,1190
8579,night,1191
11457,night,1192
3460,day,1193
16303,day,1194
9123,night,1195
16704,day,1196
12185,night,1197
14442,day,1198
15845,day,1199
855,night,1200
1414,day,1201
14665,night,1202
5293,night,1203
9210,day,1204
4276,day,1205
15364,day,1206
277,day,1207
3508,day,1208
7213,night,1209
7859,day,1210
919,day,1211
2253,day,1212
7022,day,1213
12722,night,1214
13482,night,1215
7393,day,1216
14229,day,1217
8476,day,1218
3872,night,1219
2125,day,1220
5523,day,1221
12138,day,1222
3634,day,1223
10606,day,1224
4852,night,1225
16059,day,1226
9236,day,1227
10907,day,1228
12327,night,1229
6197,night,1230
10462,night,1231
4371,night,1232
1136,day,1233
8260,day,1234
11678,day,1235
13908,night,1236
9598,night,1237
13654,night,1238
1765,day,1239
12785,night,1240
5183,day,1241
3644,night,1242
1887,night,1243
906,night,1244
12434,day,1245
9042,night,1246
11790,day,1247
3167,day,1248
785,night,1249
5575,night,1250
988,day,1251
11929,day,1252
9644,day,1253
6015,night,1254
9624,day,1255
16567,night,1256
1112,day,1257
15502,day,1258
16704,day,1259
102,night,1260
12203,day,1261
6381,day,1262
13888,day,1263
13630,day,1264
11695,day,1265
1426,day,1266
16145,day,1267
14642,day,1268
10458,night,1269
1346,night,1270
805,night,1271
15772,night,1272
1744,day,1273
12778,day,1274
607,night,1275
13576,day,1276
14589,day,1277
12430,day,1278
2850,day,1279
11751,night,1280
16645,night,1281
9503,night,1282
3329,day,1283
12771,day,1284
14337,day,1285
10000,night,1286
14092,day,1287
8856,night,1288
9880,night,1289
12127,day,1290
8836,day,1291
11825,night,1292
6086,night,1293
4556,night,1294
6584,day,1295
7677,night,1296
2897,night,1297
13504,night,1298
14198,day,1299
12279,night,1300
11567,night,1301
527,day,1302
10294,day,1303
11287,day,1304
5818,night,1305
2535,night,1306
4775,day,1307
9403,day,1308
299,day,1309
10936,night,1310
12642,day,1311
7249,day,1312
11252,night,1313
1827,night,1314
831,day,1315
2178,day,1316
13999,day,1317
10999,night,1318
15036,night,1319
1959,night,1320
9281,night,1321
14367,day,1322
9118,day,1323
1167,night,1324
8342,day,1325
12142,day,1326
15910,night,1327
10633,day,1328
5681,day,1329
10704,day,1330
8528,day,1331
5643,day,1332
8666,night,1333
2136,night,1334
15915,night,1335
13452,night,1336
11366,day,1337
14979,day,1338
8838,night,1339
14888,night,1340
5798,day,1341
10389,day,1342
4751,night,1343
4607,day,1344
9357,day,1345
9766,night,1346
7775,day,1347
9053,day,1348
4288,day,1349
5870,day,1350
16256,day,1351
3384,night,1352
1032,night,1353
14839,day,1354
13866,day,1355
7992,day,1356
5952,night,1357
11424,day,1358
972,day,1359
15090,night,1360
11395,day,1361
14806,day,1362
11920,night,1363
5962,day,1364
10441,day,1365
12586,night,1366
10498,day,1367
972,night,1368
12053,night,1369
981,night,1370
763,day,1371
4015,night,1372
12912,day,1373
7073,night,1374
723,night,1375
1181,day,1376
4810,day,1377
2402,night,1378
15031,night,1379
10124,day,1380
5614,day,1381
12532,day,1382
3932,day,1383
12854,day,1384
1226,night,1385
1275,night,1386
9801,day,1387
7480,day,1388
13354,night,1389
4233,day,1390
5167,night,1391
11298,night,1392
9849,day,1393
2031,night,1394
16337,night,1395
10119,night,1396
12534,day,1397
6662,night,1398
2287,night,1399
9669,night,1400
4895,night,1401
570,day,1402
11415,day,1403
10213,day,1404
4229,day,1405
7606,night,1406
14682,day,1407
11885,night,1408
2231,day,1409
4114,day,1410
12302,day,1411
11475,day,1412
16592,night,1413
4952,night,1414
3484,night,1415
6001,night,1416
16624,day,1417
2877,day,1418
3116,day,1419
13498,night,1420
8770,day,1421
16626,day,1422
2822,day,1423
8536,night,1424
8269,night,1425
2276,night,1426
2133,night,1427
1323,day,1428
6382,day,1429
12052,day,1430
2938,night,1431
8519,day,1432
7602,night,1433
16104,day,1434
429,day,1435
5962,night,1436
5936,day,1437
13162,night,1438
12376,day,1439
13791,night,1440
7575,night,1441
13774,night,1442
6781,day,1443
8122,night,1444
2905,day,1445
3426,night,1446
10819,day,1447
14183,night,1448
8315,day,1449
8888,day,1450
14089,night,1451
4441,day,1452
370,day,1453
4591,day,1454
11030,day,1455
15048,night,1456
9017,day,1457
14909,night,1458
13221,night,1459
11885,day,1460
12439,night,1461
861,night,1462
5069,day,1463
3915,night,1464
6752,night,1465
12669,day,1466
16278,night,1467
14359,night,1468
2136,day,1469
4802,day,1470
11169,night,1471
646,day,1472
11965,day,1473
11819,day,1474
8233,night,1475
5583,day,1476
15596,night,1477
11571,day,1478
7500,night,1479
9041,night,1480
3652,day,1481
9240,day,1482
9320,night,1483
11187,day,1484
8146,day,1485
7928,night,1486
16608,day,1487
8500,night,1488
10833,night,1489
890,day,1490
5820,night,1491
165,day,1492
9946,night,1493
468,day,1494
3030,night,1495
1140,day,1496
6348,night,1497
7406,day,1498
11752,day,1499
10991,day,1500
1261,night,1501
910,night,1502
7887,day,1503
1399,night,1504
13674,day,1505
11087,night,1506
14880,night,1507
7499,day,1508
7955,day,1509
2011,night,1510
9327,day,1511
4234,day,1512
6678,day,1513
5538,day,1514
11225,day,1515
691,night,1516
1136,day,1517
10769,day,1518
11075,day,1519
133,day,1520
16071,night,1521
10021,night,1522
10734,night,1523
6508,day,1524
3135,night,1525
12829,day,1526
9019,night,1527
7870,night,1528
15271,night,1529
4411,day,1530
11593,day,1531
16452,day,1532
9349,day,1533
5314,day,1534
11028,night,1535
3756,day,1536
10687,day,1537
6503,day,1538
3909,night,1539
12424,day,1540
16082,night,1541
2485,day,1542
15977,day,1543
15718,day,1544
8005,day,1545
50,day,1546
10890,day,1547
13126,day,1548
781,day,1549
5180,day,1550
16103,day,1551
13645,day,1552
14439,day,1553
14188,day,1554
14794,night,1555
9109,night,1556
3245,day,1557
6029,day,1558
895,night,1559
13288,night,1560
12490,night,1561
1183,night,1562
71,night,1563
1625,day,1564
9774,night,1565
2926,night,1566
9847,night,1567
8037,day,1568
9201,day,1569
4546,day,1570
8364,day,1571
14307,night,1572
13037,night,1573
14068,night,1574
2944,night,1575
5359,day,1576
8239,day,1577
15976,day,1578
3457,night,1579
13692,day,1580
957,night,1581
4597,night,1582
4058,night,1583
3267,night,1584
1482,day,1585
4442,day,1586
12484,day,1587
774,day,1588
5339,day,1589
1304,night,1590
820,day,1591
1220,night,1592
3984,day,1593
7445,night,1594
5004,day,1595
6890,day,1596
2531,day,1597
12076,day,1598
16230,night,1599
14964,night,1600
221,day,1601
15069,night,1602
2364,day,1603
14178,day,1604
16500,day,1605
8758,day,1606
8554,day,1607
45,day,1608
6993,day,1609
5623,day,1610
14535,day,1611
6390,day,1612
2869,night,1613
3695,day,1614
13423,day,1615
2320,day,1616
9261,day,1617
13814,day,1618
6074,night,1619
12433,day,1620
14937,day,1621
3701,night,1622
15721,day,1623
569,day,1624
10303,night,1625
11321,day,1626
569,day,1627
8986,day,1628
11792,night,1629
16686,day,1630
7160,day,1631
7948,day,1632
12327,night,1633
16373,day,1634
7157,day,1635
581,day,1636
3553,night,1637
8590,day,1638
6946,day,1639
16567,night,1640
14512,night,1641
7295,day,1642
16004,day,1643
3713,day,1644
7467,night,1645
5729,day,1646
4629,day,1647
4606,night,1648
8251,day,1649
16057,night,1650
12213,day,1651
13097,day,1652
12115,night,1653
7898,night,1654
1810,day,1655
7908,day,1656
14849,night,1657
4649,day,1658
4534,night,1659
1577,night,1660
10845,day,1661
8638,day,1662
11562,day,1663
9096,night,1664
1389,day,1665
16573,night,1666
11804,night,1667
10417,day,1668
3928,day,1669
7886,night,1670
1071,day,1671
15082,day,1672
12546,day,1673
1483,day,1674
4961,night,1675
10236,day,1676
15332,night,1677
7309,day,1678
15099,day,1679
9439,night,1680
8815,night,1681
5714,night,1682
8409,night,1683
709,night,1684
14731,night,1685
29,day,1686
4136,night,1687
891,day,1688
14287,night,1689
5366,night,1690
9,day,1691
923,night,1692
1137,night,1693
3472,night,1694
7288,night,1695
10387,night,1696
13475,day,1697
8865,night,1698
10559,day,1699
5075,day,1700
4530,night,1701
14313,night,1702
837,night,1703
12119,night,1704
8752,night,1705
12800,day,1706
2690,night,1707
5403,day,1708
15605,day,1709
7248,day,1710
760,day,1711
9888,night,1712
10739,day,1713
6939,day,1714
9896,night,1715
10094,night,1716
11969,night,1717
16484,day,1718
5895,day,1719
3899,day,1720
16086,day,1721
9512,day,1722
13441,day,1723
11777,day,1724
10686,night,1725
1215,day,1726
13925,night,1727
9124,day,1728
11693,day,1729
7522,day,1730
7902,day,1731
8745,night,1732
13797,day,1733
13884,day,1734
8602,night,1735
2685,night,1736
13363,day,1737
6795,day,1738
457,day,1739
11314,night,1740
2750,day,1741
13380,night,1742
15902,night,1743
8571,night,1744
15994,day,1745
7514,day,1746
15484,day,1747
9144,night,1748
9896,night,1749
13777,night,1750
13949,day,1751
8337,day,1752
657,day,1753
4228,day,1754
15256,night,1755
15063,day,1756
2515,day,1757
312,night,1758
579,day,1759
6513,night,1760
16738,night,1761
14124,day,1762
5381,day,1763
9616,night,1764
2112,day,1765
14027,day,1766
16720,day,1767
98,night,1768
4711,day,1769
5494,day,1770
4788,day,1771
12149,night,1772
4910,day,1773
14333,day,1774
11540,day,1775
16466,night,1776
5451,day,1777
12505,day,1778
15601,day,1779
6116,day,1780
12451,night,1781
3719,night,1782
15303,day,1783
13917,day,1784
10044,night,1785
1417,night,1786
5388,day,1787
15243,day,1788
4926,night,1789
965,night,1790
2530,night,1791
11314,day,1792
687,day,1793
4810,day,1794
3358,night,1795
854,night,1796
11860,night,1797
506,night,1798
7138,night,1799
6149,night,1800
2177,day,1801
13920,day,1802
12159,night,1803
15596,day,1804
15147,day,1805
9632,day,1806
4149,day,1807
13566,day,1808
7220,day,1809
1763,day,1810
6020,day,1811
6315,day,1812
9736,night,1813
2031,night,1814
213,day,1815
6747,night,1816
5192,night,1817
12994,night,1818
4840,day,1819
10294,day,1820
13418,night,1821
15045,day,1822
4498,night,1823
13702,night,1824
7478,day,1825
16015,night,1826
13565,day,1827
12587,night,1828
6607,day,1829
317,day,1830
11177,day,1831
7418,day,1832
1255,day,1833
5667,day,1834
14583,day,1835
16446,day,1836
1323,day,1837
5863,day,1838
16316,day,1839
246,night,1840
9755,night,1841
3483,day,1842
5252,day,1843
16731,night,1844
9089,day,1845
12014,night,1846
10200,day,1847
15862,day,1848
6456,day,1849
8203,day,1850
9436,night,1851
6009,night,1852
16503,night,1853
14631,day,1854
526,night,1855
16240,night,1856
6633,day,1857
480,day,1858
9176,night,1859
2914,day,1860
5627,night,1861
8629,day,1862
7514,day,1863
10107,day,1864
5122,day,1865
5092,day,1866
786,day,1867
5960,day,1868
10252,day,1869
13169,night,1870
1472,day,1871
2107,night,1872
12406,day,1873
12005,day,1874
11505,day,1875
14831,night,1876
12848,day,1877
14368,day,1878
11703,day,1879
598,day,1880
9385,day,1881
2041,night,1882
9644,day,1883
322,night,1884
2736,night,1885
8278,day,1886
7021,night,1887
14006,day,1888
9735,day,1889
2221,day,1890
10540,night,1891
3387,day,1892
1227,day,1893
5184,day,1894
5571,night,1895
13166,day,1896
